"","drug","SYMBOL","logFC"
"Cyp26b1","Bevacizumab","Cyp26b1",1.40652859061496
"Gm55481","Bevacizumab","Gm55481",1.29670632762397
"Mir5119","Bevacizumab","Mir5119",2.09024874464932
"Gm26448","Bevacizumab","Gm26448",1.00935993046405
"Gm56797","Bevacizumab","Gm56797",-1.35295322573884
"Gm27616","Bevacizumab","Gm27616",-1.40956784000137
"Rtp4","Bevacizumab","Rtp4",1.19663007128646
"Gm55607","Bevacizumab","Gm55607",0.982383512417197
"Ifi27","Bevacizumab","Ifi27",1.13236958226455
"Fgf18","Bevacizumab","Fgf18",0.975209153206416
"Rasal1","Bevacizumab","Rasal1",-1.13677706774681
"Gm13192","Bevacizumab","Gm13192",1.01625548879993
"Gm13341","Bevacizumab","Gm13341",0.767341208535907
"Mx2","Bevacizumab","Mx2",1.12339217559055
"BC023105","Bevacizumab","BC023105",1.66222975443495
"Gm15441","Bevacizumab","Gm15441",0.938425566040856
"Irgm1","Bevacizumab","Irgm1",0.949404901142256
"Rpl36a-ps3","Bevacizumab","Rpl36a-ps3",1.07857760572356
"Igtp","Bevacizumab","Igtp",1.4062153441966
"Gm4045","Bevacizumab","Gm4045",0.712234863234709
"Gbp7","Bevacizumab","Gbp7",0.808297267197377
"Gbp6","Bevacizumab","Gbp6",1.27137455091286
"Ccl28","Bevacizumab","Ccl28",-0.800890881320057
"H3f3a-ps1","Bevacizumab","H3f3a-ps1",0.742414098415279
"Orm1","Bevacizumab","Orm1",1.65009553722412
"Gm12407","Bevacizumab","Gm12407",1.06821067768349
"Gm8834","Bevacizumab","Gm8834",0.67108616473826
"Best4-ps","Bevacizumab","Best4-ps",0.837140104831902
"Gm57147","Bevacizumab","Gm57147",0.921510989825547
"Gm36546","Bevacizumab","Gm36546",0.841720278730927
"Nobox","Bevacizumab","Nobox",0.724727195313332
"Gm10222","Bevacizumab","Gm10222",0.930282815585652
"Gm22858","Bevacizumab","Gm22858",-1.4322336730182
"Mir7682","Bevacizumab","Mir7682",1.17765640566766
"Gm34235","Bevacizumab","Gm34235",0.752963709912472
"Gm20257","Bevacizumab","Gm20257",0.69752567578797
"Gm22270","Bevacizumab","Gm22270",0.853649808008705
"Oas1b","Bevacizumab","Oas1b",0.993425432808165
"Irgm2","Bevacizumab","Irgm2",0.910231887569682
"Usp18","Bevacizumab","Usp18",0.861922791679693
"Rps11-ps1","Bevacizumab","Rps11-ps1",0.828703073968127
"Gm26296","Bevacizumab","Gm26296",0.765518179622798
"Irf7","Bevacizumab","Irf7",1.07352972714623
"Eps8l1","Bevacizumab","Eps8l1",-0.673017942398005
"Syt8","Bevacizumab","Syt8",0.984265320069771
"Ccdc170","Bevacizumab","Ccdc170",-0.630070454296342
"Ifit1","Bevacizumab","Ifit1",0.99980619218777
"Snora20","Bevacizumab","Snora20",0.893449839967161
"Aldh3a1","Bevacizumab","Aldh3a1",1.28083567700551
"Gm26387","Bevacizumab","Gm26387",0.872449995829384
"Gm15610","Bevacizumab","Gm15610",0.732158311466077
"Gm44126","Bevacizumab","Gm44126",0.895987221183049
"Gm41804","Bevacizumab","Gm41804",-0.621431849396064
"Gm22215","Bevacizumab","Gm22215",0.786765735784151
"Ifi27l2a","Bevacizumab","Ifi27l2a",0.951829701913499
"Gm22656","Bevacizumab","Gm22656",0.77972284368075
"Pcdh12","Bevacizumab","Pcdh12",-0.639728518427756
"Mir3079","Bevacizumab","Mir3079",0.915541956865219
"Gm33934","Bevacizumab","Gm33934",0.634020072184451
"Sspo","Bevacizumab","Sspo",0.662455943460307
"Gm13131","Bevacizumab","Gm13131",0.753387454431809
"4930434B07Rik","Bevacizumab","4930434B07Rik",0.696967727681013
"Gm45820","Bevacizumab","Gm45820",0.883231267307997
"Gm2693","Bevacizumab","Gm2693",0.849050175738747
"Bst2","Bevacizumab","Bst2",0.861040229767914
"Gm7993","Bevacizumab","Gm7993",-0.967252996014083
"Gm56626","Bevacizumab","Gm56626",-0.726540154891032
"Fgg","Bevacizumab","Fgg",0.865597046154222
"Gm23969","Bevacizumab","Gm23969",0.702043124650225
"Iigp1","Bevacizumab","Iigp1",0.919093420741484
"Ccdc180","Bevacizumab","Ccdc180",0.647898370714322
"Gm56346","Bevacizumab","Gm56346",0.876953656233565
"Mir7025","Bevacizumab","Mir7025",0.658646183886639
"Rorc","Bevacizumab","Rorc",0.752046798673593
"Mir221","Bevacizumab","Mir221",0.678406340709917
"Mtarc1","Bevacizumab","Mtarc1",0.673978529180701
"Mid1-ps1","Bevacizumab","Mid1-ps1",-1.04554130783284
"Fabp1","Bevacizumab","Fabp1",1.20740140552832
"Snora47","Bevacizumab","Snora47",-0.764303704409616
"Gm52948","Bevacizumab","Gm52948",-0.880019890173446
"Cry1","Bevacizumab","Cry1",0.960933508835668
"Gm56051","Bevacizumab","Gm56051",0.623670785429286
"Gm44647","Bevacizumab","Gm44647",0.627626756571219
"1700001J03Rik","Bevacizumab","1700001J03Rik",0.841952570445551
"Psmb8","Bevacizumab","Psmb8",0.746692916387284
"Ugt8a","Bevacizumab","Ugt8a",-0.597402347038182
"Gbp3","Bevacizumab","Gbp3",0.792949011111529
"Krt20","Bevacizumab","Krt20",0.828419467454675
"Tmprss9","Bevacizumab","Tmprss9",-0.787940199625398
"Ifit3","Bevacizumab","Ifit3",0.946294402836752
"4833411C07Rik","Bevacizumab","4833411C07Rik",0.623965951716455
"Ifi47","Bevacizumab","Ifi47",0.751106039155755
"Mir466i","Bevacizumab","Mir466i",0.907576341914362
"Nr1d1","Bevacizumab","Nr1d1",-0.9616923839973
"Uts2","Bevacizumab","Uts2",0.665419772353556
"Gpx1","Bevacizumab","Gpx1",0.674820799578468
"Psmb9","Bevacizumab","Psmb9",0.674063969355703
"Gm15756","Bevacizumab","Gm15756",0.704662585618903
"Trbc2","Bevacizumab","Trbc2",0.708531519944367
"Parp9","Bevacizumab","Parp9",0.605087896209593
"Gm22107","Bevacizumab","Gm22107",0.773002132029081
"Gm44966","Bevacizumab","Gm44966",-0.901514540306885
"Gm17669","Bevacizumab","Gm17669",0.541521493196431
"Snord83b","Bevacizumab","Snord83b",-0.87836407358592
"Mir1954","Bevacizumab","Mir1954",0.794915921304932
"Cpe","Bevacizumab","Cpe",-0.657447792340338
"Gm14964","Bevacizumab","Gm14964",0.635824130872049
"Gm1123","Bevacizumab","Gm1123",0.622433095453049
"Usf2-ps1","Bevacizumab","Usf2-ps1",1.08815387426535
"Gm47015","Bevacizumab","Gm47015",-1.05356413862423
"Plac8","Bevacizumab","Plac8",0.641537778976346
"Gm4956","Bevacizumab","Gm4956",0.605544388653146
"Ifit3b","Bevacizumab","Ifit3b",0.728308412001455
"Csgalnact1","Bevacizumab","Csgalnact1",-0.633387901090478
"Gm24045","Bevacizumab","Gm24045",0.944856624976102
"Ccl12","Bevacizumab","Ccl12",0.557295355782127
"Nlrc5","Bevacizumab","Nlrc5",0.812282768837522
"Gm40117","Bevacizumab","Gm40117",0.749178289861672
"Gm20518","Bevacizumab","Gm20518",0.646745433777976
"Abca3","Bevacizumab","Abca3",-0.797836989946585
"Tnc","Bevacizumab","Tnc",-0.785429574945378
"Gm50254","Bevacizumab","Gm50254",0.598425582598945
"Gm6419","Bevacizumab","Gm6419",0.61530994031246
"Ctse","Bevacizumab","Ctse",0.724131626530195
"Ndufb4b","Bevacizumab","Ndufb4b",0.786098673778804
"Gm54389","Bevacizumab","Gm54389",0.598147932874864
